dataset,observations,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
Training,6115,0.7358953393295176,0.895232310962648,0.698909435751541,0.7849820263613367,0.8100235879416303,0.9096441977220412,1552,345,1270,2948
Validation,1311,0.8062547673531655,0.836873406966865,0.9407831900668577,0.8857913669064749,0.42827993401059306,0.7805452351909943,72,192,62,985
Test,1311,0.7673531655225019,0.9225490196078432,0.8063410454155956,0.8605395518975766,0.7752725411787109,0.96492840576432,65,79,226,941
