lag_hours,positive_persistence,negative_persistence
1,0.9947139303482587,0.9852430555555556
6,0.9682835820895522,0.9112657677250978
24,0.8731343283582089,0.6422621657167908
72,0.8283582089552238,0.5266457680250783
168,0.7878787878787878,0.38737124944021495
