model,period,accuracy,precision,recall,f1,tn,fp,fn,tp
Majority,Training,0.6897792313982012,0.6897792313982012,1.0,0.8164134326913771,0,1897,0,4218
Majority,Validation,0.7986270022883295,0.7986270022883295,1.0,0.8880407124681934,0,264,0,1047
Majority,Test,0.8901601830663616,0.8901601830663616,1.0,0.9418886198547216,0,144,0,1167
Previous-hour,Training,0.9916584887144259,0.9940716148921034,0.9938359412043622,0.9939537640782454,1871,25,26,4192
Previous-hour,Validation,0.9923664122137404,0.9952198852772467,0.9952198852772467,0.9952198852772467,259,5,5,1041
Previous-hour,Test,0.9946564885496183,0.9965724078834619,0.9974271012006861,0.9969995713673382,140,4,3,1163
Previous-24h,Training,0.7990477754063372,0.8569384835479256,0.8520625889046942,0.8544935805991442,1273,600,624,3594
Previous-24h,Validation,0.8251748251748252,0.884393063583815,0.8973607038123167,0.8908296943231441,144,120,105,918
Previous-24h,Test,0.8764568764568764,0.9254498714652957,0.9375,0.9314359637774904,48,87,72,1080
